sigma,k,w,optimal density factor,density factor lower bound,average density factor
2,2,2,2.0625,,2.125
2,2,3,2,,2.16667
2,2,4,1.953125,,2.21354
2,2,5,1.96875,,2.28125
2,2,6,2.05078125,,2.38802
2,2,7,2.1875,,2.52604
2,2,8,2.364257813,,2.68945
2,2,9,2.568359375,,2.87109
2,2,10,2.790283203,,3.066
2,2,11,3.0234375,,3.27051
2,2,12,3.26348877,,3.48222
2,3,2,1.875,,2.0625
2,3,3,1.8125,,2.08333
2,3,4,1.796875,,2.09505
2,3,5,1.78125,,2.09375
2,3,6,1.77734375,,2.1013
2,3,7,1.7890625,,2.11838
2,3,8,1.814941406,,2.14844
2,3,9,1.831054688,,2.18719
2,3,10,1.869140625,,2.23482
2,3,11,1.919677734,,2.28963
2,3,12,1.98324585,,2.35092
2,3,13,2.05569458,,2.41776
2,3,14,2.136268616,,2.48968
2,3,15,2.223083496,,2.56618
2,3,16,2.31539917,,2.64686
2,3,17,2.412254333,,2.73134
2,3,18,2.513082027,,2.8193
2,3,19,2.617301941,,2.91042
2,3,20,2.724482417,,3.00441
2,3,21,2.834219694,,3.10103
2,3,22,2.946178854,,3.20001
2,3,23,3.060057521,,3.30115
2,3,24,3.175594844,,3.40424
2,4,2,1.78125,,2.03125
2,4,3,1.75,,2.04167
2,4,4,1.69921875,,2.04753
2,4,5,1.69921875,,2.04102
2,4,6,1.708984375,,2.03896
2,4,7,1.69921875,,2.03709
2,4,8,1.709472656,,2.04004
2,4,9,1.721191406,,2.0454
2,4,10,1.738891602,,2.05462
2,4,11,1.758178711,,2.06605
2,4,12,1.779922485,,2.07969
2,4,13,1.797103882,,2.09513
2,4,14,1.812343597,,2.11228
2,4,15,1.830230713,,2.1309
2,4,16,1.85068512,,2.15097
2,4,17,1.873357773,,2.17239
2,4,18,1.898082018,,2.19515
2,4,19,1.924684048,,2.21919
2,4,20,1.953034937,,2.2445
2,4,21,1.983008206,,2.27104
2,4,22,2.014499947,,2.29879
2,4,23,2.047417402,,2.32772
2,4,24,2.081682067,,2.35781
2,4,25,2.117223229,,2.38904
2,4,26,2.153978862,,2.42137
2,4,27,2.189727617,,2.45479
2,4,28,2.2259592,,2.48926
2,4,29,2.263648318,,2.52476
2,4,30,2.302721836,,2.56126
2,4,31,2.34310989,,2.59874
2,4,32,2.384746004,,2.63717
2,4,33,2.427566988,,2.67652
2,4,34,2.471512334,,2.71677
2,4,35,2.516524236,,2.75788
2,4,36,2.562547414,,2.79983
2,4,37,2.609528961,,2.84259
2,4,38,2.657418295,,2.88614
2,4,39,2.706167062,,2.93045
2,4,40,2.755729065,,2.9755
2,4,41,2.806060207,,3.02125
2,4,42,2.857118423,,3.06768
2,4,43,2.908863616,,3.11477
2,4,44,2.961257603,,3.1625
2,4,45,3.014264045,,3.21084
2,4,46,3.067848387,,3.25976
2,4,47,3.121977799,,3.30925
2,4,48,3.176621104,,3.35928
2,5,2,1.734375,,2.015625
2,5,3,1.640625,,2.020833333
2,5,4,1.6796875,,2.023763021
2,5,5,1.65234375,,2.020507813
2,5,6,1.650878906,,2.020100911
2,5,7,1.65234375,,2.016694568
2,5,8,1.663330078,,2.015293666
2,5,9,1.672973633,,2.014099121
2,5,10,1.683166504,,2.01463548
2,5,11,1.691345215,,2.015886209
2,5,12,1.69254303,,2.018162943
2,5,13,1.694992065,,2.021034477
