w,best_gc,average_density_factor,,
2,162,2.015625,,
3,469,2.015625,,
4,1479,2.017089844,,
5,4924,2.021044922,,
6,16978,2.027722168,,
7,59933,2.036188616,,
8,215524,2.046195766,,
9,785779,2.057572501,,
10,2895294,2.070270029,,
11,10757993,2.084258118,,
12,40232739,2.099296815,,
13,151357519,2.116009204,,
14,572365580,2.133286838,,
15,2174259224,2.153241038,,
16,8292534055,2.173559402,,
17,31740936606,2.195249449,,
18,121830453192,2.216877663,,
19,468968442685,2.240531811,,
20,1810204250807,2.266417336,,
21,7005399206118,2.292446392,,
22,27167281900090,2.319308783,,
23,105440007428173,2.348492231,,
24,410106195961858,2.375809763,,
25,1598141143570392,2.407129616,,
26,6239093031585913,2.43886843,,
27,24399233071234934,2.471635432,,
28,95570476002733813,2.505975391,,
29,374898090664489493,2.540119036,,
30,1472643977543613229,2.574525166,,
31,5792075506097533535,2.610798838,,
32,22807767879709521258,2.649756636,,
33,89909738098141076539,2.687198767,,
34,354790594489780624698,2.726016817,,
35,1401352726991208626198,2.766638385,,
36,5539923147473791828712,2.806457127,,
37,21918659154196182109942,2.848405686,,
38,86786708285660562204055,2.890730052,,
39,343873159273130343002102,2.934429701,,
40,1363413794482505647413997,2.978827563,,
41,5409056179667983413045437,3.021955755,,
42,21471441128709749442920859,3.067787133,,
43,85276546585727365114377995,3.114485925,,
44,338852551870484991212102344,3.159631284,,
45,1347068981239610061505195973,3.206817294,,
46,5357387434658516190529451470,3.255573898,,
47,21315111898635299160437264926,3.303718556,,
48,84836281799589943933418805448,3.352598631,,
