w,best_gc,best_gc_lower_bound,gm_upper_bound,average_density_factor,ragnars bound,1/sigma^k,,
2,,40,1.6875,2.0078125,143,4,,
3,,75,1.617188,2.010416667,205.5,8,,
4,,141,1.572265,2.01188151,315.25,16,,
5,,268,1.646484,2.010253906,560,32,,
6,,514,1.626954,2.010050456,946,64,,
7,,986,1.623048,2.00797526,1639,128,,
8,,1897,1.625976,2.006857736,2891.5,256,,
9,,3653,1.633,2.005556863,5174,512,,
10,,7034,1.642718,2.005078295,9362.375,1024,,
11,,13557,1.652712,2.004756706,17096.38,2048,,
12,,26153,1.662934,2.004851539,31457.31,4096,,
13,,50496,1.66712,2.005164524,58254.23,8192,,
14,,97558,1.67154,2.005764308,108473.4,16384,,
15,,188633,1.67672,2.006511435,202950.2,32768,,
16,,364824,1.68236,2.007442637,381303,65536,,
17,,706243,1.68845,2.008497195,729446,131072,,
18,,1367373,1.69492,2.009685673,1398122,262144,,
19,,2649184,1.70163,2.010980929,2684360,524288,,
20,,5139229,1.70855,2.012386373,5162223,1048576,,
21,,9969386,1.71563,2.014042,9942076,2097152,,
22,,19350436,1.72282,2.015001,19173975,4194304,,
23,,37592938,1.7301,2.018852,37025582,8388608,,
24,,73050008,1.73743,2.018544,71582835,16777216,,
25,,142001208,1.74476,2.0208,1.39E+08,33554432,,
26,,276262129,1.7521,2.023188,2.68E+08,67108864,,
27,,536341318,1.75944,2.02536,5.21E+08,134217728,,
28,,1040254656,1.76676,2.026441,1.01E+09,268435456,,
29,,2019849942,1.77405,2.029792,1.96E+09,536870912,,
30,,3926118951,1.7813,2.030963,3.82E+09,1073741824,,
31,,7639100845,1.7885,2.034604,7.43E+09,2147483648,,
32,,14877562921,1.79565,2.037507,1.45E+10,4294967296,,
33,,29000575461,1.80275,2.03872,2.82E+10,8589934592,,
34,,56577227447,1.8098,2.041721,5.50E+10,17179869184,,
35,,110462632618,1.81679,2.044167,1.07E+11,34359738368,,
36,,215827910924,1.82374,2.046805,2.09E+11,68719476736,,
37,,421998989897,1.83063,2.050815,4.09E+11,1.37E+11,,
38,,825632826949,1.83748,2.052631,8.00E+11,2.75E+11,,
39,,1616337187273,1.84429,2.056865,1.56E+12,5.50E+11,,
40,,3166151416855,1.85107,2.059907,3.06E+12,1.10E+12,,
41,,6205463072265,1.8578,2.063673,5.99E+12,2.20E+12,,
42,,12168786278926,1.86451,2.064677,1.17E+13,4.40E+12,,
43,,23874851973627,1.87119,2.068979,2.30E+13,8.80E+12,,
44,,46864548970214,1.87785,2.072752,4.50E+13,1.76E+13,,
45,,92034283875019,1.88449,2.07626,8.83E+13,3.52E+13,,
46,,180820571842761,1.89111,2.07938,1.73E+14,7.04E+13,,
47,,355411253704941,1.89772,2.084686,3.40E+14,1.41E+14,,
48,,698863447673032,1.90432,2.088481,6.67E+14,2.81E+14,,
49,1374732752060293,,1.91092,2.091684,1.31E+15,5.63E+14,,
50,2705182987202792,,1.91752,2.096139,2.57E+15,1.13E+15,,
51,5325194759757109,,1.92412,2.098821,5.06E+15,2.25E+15,,
52,10486508909541480,,1.93072,2.104749,9.94E+15,4.50E+15,,
53,20657470852435100,,1.93733,2.108293,1.95E+16,9.01E+15,,
54,40706964503575022,,1.94395,2.112447,3.84E+16,1.80E+16,,
55,80241777852831659,,1.95058,2.117591,7.56E+16,3.60E+16,,
56,158222349609369160,,1.95713,2.121136,1.49E+17,7.21E+16,,
57,312080094439155869,,1.96377,2.126194,2.93E+17,1.44E+17,,
58,615730980270108736,,1.97043,2.129877,5.76E+17,2.88E+17,,
59,1215174425596596598,,1.97712,2.135208,1.14E+18,5.76E+17,,
60,2398861155524502918,,1.98383,2.14143,2.24E+18,1.15E+18,,
61,4736758023302804753,,1.99057,2.144066,4.41E+18,2.31E+18,,
62,,9354690296060790908,1.99735,2.146923,8.68E+18,4.61E+18,,
63,,18479041196098815712,2.00415,2.154482,1.71E+19,9.22E+18,,
64,,36512361402677813652,2.01097,2.159567,3.37E+19,1.84E+19,,
65,,72161839509187935248,2.017818,2.164715,6.65E+19,3.69E+19,,
66,,142652379043291592769,2.02474,2.169714,1.31E+20,7.38E+19,,
67,,282066510084429038187,2.031704,2.173979,2.59E+20,1.48E+20,,
68,,557856249524862860787,2.038674,2.179723,5.11E+20,2.95E+20,,
69,,1103541361601432046417,2.04568,2.186262,1.01E+21,5.90E+20,,
70,,2183473025707968622085,2.052681,2.191288,1.99E+21,1.18E+21,,
71,,4321130836459550970125,2.059776,2.196954,3.93E+21,2.36E+21,,
72,,8553326282449610405694,2.066922,2.201581,7.75E+21,4.72E+21,,
73,,16933947829290428293596,2.074072,2.207854,1.53E+22,9.44E+21,,
74,33530578479692343811643,,2.081325,2.21377,3.02E+22,1.89E+22,,
75,66402879474741187655340,,2.088556,2.218676,5.97E+22,3.78E+22,,
76,131517558264670355992318,,2.095863,2.22591,1.18E+23,7.56E+22,,
77,260529983137068130895930,,2.103192,2.23371,2.33E+23,1.51E+23,,
78,516190064220075488532830,,2.110564,2.238674,4.61E+23,3.02E+23,,
79,1022910611949143967064164,,2.11792,2.244473,9.10E+23,6.04E+23,,
80,2027402905653791653181076,,2.12544,2.249276,1.80E+24,1.21E+24,,
81,4018816389991418648590272,,2.132902,2.257501,3.56E+24,2.42E+24,,
82,,7967410675081826671155953,2.140487,2.263302,7.03E+24,4.84E+24,,
83,,15797859172166984120988656,2.148048,2.268085,1.39E+25,9.67E+24,,
84,,31326048789540341679459650,2.155685,2.276033,2.75E+25,1.93E+25,,
85,,62127283443959325065517454,2.163416,2.281903,5.44E+25,3.87E+25,,
86,,123232978778577504464485747,2.171172,2.287931,1.08E+26,7.74E+25,,
87,,244476932456984815934533349,2.178968,2.297092,2.13E+26,1.55E+26,,
88,,485080429252416743068034460,2.18663,2.301888,4.21E+26,3.09E+26,,
89,,962616163544672480570981895,2.19324,2.309642,8.34E+26,6.19E+26,,
90,1910532461099626207530543769,,2.19994,2.317997,1.65E+27,1.24E+27,,
91,3792418510484514698924001684,,2.20674,2.323362,3.27E+27,2.48E+27,,
92,7529008221623579596216733886,,2.21363,2.331076,6.47E+27,4.95E+27,,
93,14949146117785071583945305993,,2.2206,2.337795,1.28E+28,9.90E+27,,
94,29685894799427483915408371141,,2.22766,2.34428,2.54E+28,1.98E+28,,
95,58957662397111646046999797448,,2.23481,2.352227,5.02E+28,3.96E+28,,
96,117107725971232886811288032582,,2.24205,2.358434,9.94E+28,7.92E+28,,
97,232640261449839807948608858321,,2.24937,2.366939,1.97E+29,1.58E+29,,
98,462159410153310260444101456367,,2.25677,2.373886,3.90E+29,3.17E+29,,
99,918160755702564742972398746858,,2.26426,2.382665,7.73E+29,6.34E+29,,
100,1824310602019008586401151333093,,2.27183,2.388066,1.53E+30,1.27E+30,,
101,3625191150417869137136407424236,,2.27949,2.396928,3.03E+30,2.54E+30,,
102,7204669818665650955408362068778,,2.28723,2.405476,6.01E+30,5.07E+30,,
103,14320140861103246895309441430718,,2.29504,2.41302,1.19E+31,1.01E+31,,
104,28466203656830213292280038727930,,2.30294,2.419689,2.36E+31,2.03E+31,,
105,56592634354786129387103860721550,,2.31092,2.428307,4.68E+31,4.06E+31,,
106,112521996551592790729669566185040,,2.31897,2.435916,9.27E+31,8.11E+31,,
107,223749047397670387479694331520421,,2.32711,2.44428,1.84E+32,1.62E+32,,
108,444963499533646719554531453476698,,2.33532,2.452101,3.64E+32,3.25E+32,,
109,884976871485662634137800626609768,,2.34361,2.460955,7.22E+32,6.49E+32,,
110,1760286916267326881166904245814495,,2.35197,2.470257,1.43E+33,1.30E+33,,
111,3501693733015799639754771055013121,,2.36041,2.476333,2.84E+33,2.60E+33,,
112,6966453172464818333442246830857284,,2.36892,2.488376,5.63E+33,5.19E+33,,
113,13860748587345186146097077432153208,,2.37751,2.493505,1.12E+34,1.04E+34,,
114,27580537217763725999553799645868564,,2.38617,2.502246,2.22E+34,2.08E+34,,
115,54885677068378728987969353271676143,,2.3949,2.511538,4.39E+34,4.15E+34,,
116,109233240537882918989309856534381383,,2.40371,2.519584,8.72E+34,8.31E+34,,
117,217414913462859609052340683451552323,,2.41258,2.52861,1.73E+35,1.66E+35,,
118,432774653807091339342174587646814789,,2.42153,2.538925,3.43E+35,3.32E+35,,
119,861532263997391991446595032712008887,,2.43054,2.545582,6.81E+35,6.65E+35,,
120,1715211979723429592756884624032457964,,2.43963,2.554188,1.35E+36,1.33E+36,,
121,3415072150105374581704023988245810637,,2.44878,2.563571,2.68E+36,2.66E+36,,
122,6800128323989433923956327383028369792,,2.45801,2.572741,5.32E+36,5.32E+36,,
123,13541563366917401234679763251215117620,,2.46729,2.581035,1.06E+37,1.06E+37,,
124,26968346686700578122409197952382644628,,2.47665,2.590298,2.09E+37,2.13E+37,,
125,53712209259246287259829613448289453195,,2.48607,2.59948,4.16E+37,4.25E+37,,
126,106985336994674515960617756361651511810,,2.49556,2.608727,8.25E+37,8.51E+37,,
127,213111770827423113253100463221822381422,,2.50512,2.619959,1.64E+38,1.70E+38,,
128,424543260698720192405109892301164267484,,2.51474,2.628157,3.25E+38,3.40E+38,,
129,845799084156822503424426817706944702414,,2.52442,2.638153,6.45E+38,6.81E+38,,
130,1685131627976861996137321387183744507567,,2.53416,2.646386,1.28E+39,1.36E+39,,
131,3357512592389005744144348923808989772433,,2.54397,2.655879,2.54E+39,2.72E+39,,
132,6690077439834248340191092375308001560088,,2.55384,2.665375,5.05E+39,5.44E+39,,
133,13331338775531877261136743590207924678346,,2.56377,2.674905,1.00E+40,1.09E+40,,
134,26567150281496535569055551739227953623627,,2.57377,2.684671,1.99E+40,2.18E+40,,
135,52947351898229231713852089045229767075217,,2.58382,2.694569,3.95E+40,4.36E+40,,
136,105528815660949932160218909937190901231087,,2.59394,2.705782,7.85E+40,8.71E+40,,
137,210341480243521503561316268279940416135570,,2.60411,2.713856,1.56E+41,1.74E+41,,
138,419281145303699274262763962637654273342785,,2.61434,2.724851,3.10E+41,3.48E+41,,
139,835810938701680101148921412721695981286570,,2.62463,2.732692,6.15E+41,6.97E+41,,
140,1666195108319116492407701122880715187139690,,2.63498,2.744396,1.22E+42,1.39E+42,,
141,3321770829854838718730557440563437275258431,,2.64539,2.754106,2.43E+42,2.79E+42,,
142,6622759534922535026473275992200840332125184,,2.65585,2.764555,4.82E+42,5.58E+42,,
143,13204845499486829647686115454251940647227494,,2.66637,2.773208,9.58E+42,1.12E+43,,
144,26330081310597942243374281599250661434222278,,2.67694,2.784056,1.90E+43,2.23E+43,,
145,52504332904803711640460434465019206180066526,,2.68757,2.794709,3.78E+43,4.46E+43,,
146,104703620165636323664074465913863628911727696,,2.69826,2.805016,7.51E+43,8.92E+43,,
147,208810055127292649770907583804083678577404318,,2.709,2.814609,1.49E+44,1.78E+44,,
148,416450927251665649333587899840581781412344491,,2.71979,2.824901,2.97E+44,3.57E+44,,
149,830612648915367207626894944488085838874813577,,2.73063,2.834479,5.89E+44,7.14E+44,,
150,1656742853684905645152120919337289039712702330,,2.74153,2.846278,1.17E+45,1.43E+45,,
151,3304708170950237951097286178960768447987059062,,2.75248,2.85671,2.33E+45,2.85E+45,,
152,6592227066065051890537735397697669387138422194,,2.76349,2.868654,4.63E+45,5.71E+45,,
153,13150789858883556027889833914469385460923066461,,2.77454,2.878494,9.19E+45,1.14E+46,,
154,26235646007259607933672465372723535464432137130,,2.78565,2.889427,1.83E+46,2.28E+46,,
155,52342148879604669913323772822697963531053426840,,2.7968,2.899077,3.63E+46,4.57E+46,,
156,104431332800536017398806644814639106299876320948,,2.808,2.909747,7.22E+46,9.13E+46,,
157,208367130580179168496696113690908954062511605795,,2.81926,2.922365,1.43E+47,1.83E+47,,
158,415758126161923518864872345978113839438252304830,,2.83056,2.930945,2.85E+47,3.65E+47,,
159,829544528690076129812463973323838847554520888894,,2.84191,2.942579,5.67E+47,7.31E+47,,
160,1655228753151694826447467780655637990003101021579,,2.85331,2.954024,1.13E+48,1.46E+48,,
161,3302899294740736739248997775855424924122921288217,,2.86476,2.964504,2.24E+48,2.92E+48,,
162,6590999389234210289242457613912571479853994360454,,2.87625,2.976077,4.45E+48,5.85E+48,,
163,13153020083983068766354998248923312462779332180752,,2.88779,2.988008,8.86E+48,1.17E+49,,
164,26249293490911357364019638038786982135904899543691,,2.89938,2.997898,1.76E+49,2.34E+49,,
165,52387459162381846165429370638472429308975273688609,,2.91101,3.007548,3.50E+49,4.68E+49,,
166,104557284906892673331645718498589532883312580512830,,2.92269,3.021013,6.96E+49,9.35E+49,,
167,208688335405761399048965994186887127094017068826480,,2.93441,3.031272,1.38E+50,1.87E+50,,
168,416541853844210706160988600817270741394126516340171,,2.94618,3.04211,2.75E+50,3.74E+50,,
169,831448572820089668659200943163913680444830558518842,,2.95799,3.053555,5.47E+50,7.48E+50,,
170,1659694306261062097010010434731856925908416282343201,,2.96984,3.065011,1.09E+51,1.50E+51,,
171,3313114739437723743348012033969912826386714931561900,,2.98174,3.077951,2.16E+51,2.99E+51,,
172,6613939390227601083813889284298507721258280650683315,,2.99368,3.088915,4.30E+51,5.99E+51,,
173,13203802313862089466901456809187664891437715599390571,,3.00566,3.099195,8.56E+51,1.20E+52,,
174,26360436496031575573933363495540949783960478379382345,,3.01768,3.112103,1.70E+52,2.39E+52,,
175,52628462180170560531080422543896616299053367212465750,,3.02975,3.123671,3.39E+52,4.79E+52,,
176,105075867767096281380066619419375809959979132241414090,,3.04186,3.13319,6.74E+52,9.58E+52,,
177,209796984839283665467124676041408403542733648523344947,,3.054,3.144446,1.34E+53,1.92E+53,,
178,418898866376644108530190717157513186446014037068238840,,3.06619,3.158312,2.67E+53,3.83E+53,,
179,836435684811702972769342278064930508700997795054669854,,3.07842,3.169159,5.30E+53,7.66E+53,,
180,1670202347664112158688222287673707589290396270536444843,,3.09068,3.179476,1.05E+54,1.53E+54,,
181,3335174373914704528897160824299252746184754398955818927,,3.10299,3.193775,2.10E+54,3.06E+54,,
182,6660098818773286934515742068232452609565363433287462822,,3.11533,3.20534,4.17E+54,6.13E+54,,
183,13300109976673839520029642729322258477192269680974660923,,3.12771,3.216609,8.30E+54,1.23E+55,,
184,26560851016831370094529140935200470111310099284849529163,,3.14013,3.228917,1.65E+55,2.45E+55,,
185,53044541790141013562248573747227867807355126107784226362,,3.15259,3.240302,3.29E+55,4.90E+55,,
186,105937849776768715933339333779664842473141759503296110243,,3.16508,3.252474,6.54E+55,9.81E+55,,
187,211579271481099240286017352624815250469774191015440268017,,3.17761,3.264619,1.30E+56,1.96E+56,,
188,422577504675976105899435950275870995437668871660538266188,,3.19018,3.277058,2.59E+56,3.92E+56,,
189,844016058630947487332841240136977634106888220656397331166,,3.20278,3.290145,5.15E+56,7.85E+56,,
190,1685799472216301094946338948179332470012908558238018096673,,3.21542,3.300702,1.02E+57,1.57E+57,,
191,3367222224044576721899936837453323123189619549319878106837,,3.22809,3.313515,2.04E+57,3.14E+57,,
192,6725864353014738579947809042041079116874950751334283076139,,3.2408,3.325424,4.06E+57,6.28E+57,,
